movieID,movie_title,movie_year,IMDB_rating,number_of_IMDB_votes,genres
m301,a clockwork orange,1971,8.50,197372,['crime' 'drama' 'sci-fi']
m571,thx 1138,1971,6.80,15741,['drama' 'mystery' 'sci-fi' 'thriller']
m47,dark star,1974,6.50,8303,['comedy' 'sci-fi' 'thriller']
m615,young frankenstein,1974,8.00,57618,['comedy' 'sci-fi']
m176,shivers,1975,6.50,4940,['horror' 'sci-fi']
m122,logan's run,1976,6.70,15152,['action' 'sci-fi']
m529,star wars,1977,8.80,326619,['action' 'adventure' 'fantasy' 'sci-fi']
m544,superman,1978,7.30,51172,['action' 'family' 'sci-fi']
m236,alien,1979,8.50,184471,['adventure' 'horror' 'sci-fi' 'thriller']
m531,star trek: the motion picture,1979,6.20,25723,['adventure' 'fantasy' 'mystery' 'sci-fi']
m542,superman ii,1980,6.70,29941,['action' 'adventure' 'fantasy' 'romance' 'sci-fi']
m12,airplane ii: the sequel,1982,5.80,15210,['comedy' 'romance' 'sci-fi']
m34,blade runner,1982,8.30,188735,['drama' 'sci-fi' 'thriller']
m193,star trek: the wrath of khan,1982,7.80,36503,['action' 'adventure' 'sci-fi' 'thriller']
m213,the thing,1982,8.20,80904,['horror' 'mystery' 'sci-fi' 'thriller']
m434,halloween iii: season of the witch,1982,3.80,13037,['horror' 'mystery' 'sci-fi']
m584,tron,1982,6.70,25903,['action' 'adventure' 'sci-fi' 'thriller' 'sci-fi']
m113,krull,1983,5.90,8246,['fantasy' 'action' 'adventure' 'sci-fi']
m489,star wars: episode vi - return of the jedi,1983,8.30,215058,['action' 'adventure' 'fantasy' 'sci-fi']
m541,superman iii,1983,4.70,18340,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi']
m192,star trek iii: the search for spock,1984,6.50,22466,['action' 'adventure' 'sci-fi' 'thriller']
m199,starman,1984,6.90,14204,['adventure' 'drama' 'romance' 'sci-fi']
m255,the adventures of buckaroo banzai across the 8th dimension,1984,6.00,10046,['adventure' 'romance' 'comedy' 'sci-fi']
m328,dune,1984,6.50,38954,['action' 'adventure' 'sci-fi']
m540,supergirl,1984,4.10,6576,['action' 'adventure' 'sci-fi']
m549,the terminator,1984,8.10,183538,['action' 'sci-fi' 'thriller']
m253,back to the future,1985,8.40,207376,['adventure' 'family' 'sci-fi']
m283,brazil,1985,8.00,77350,['drama' 'fantasy' 'sci-fi']
m317,day of the dead,1985,7.00,22746,['horror' 'sci-fi']
m15,aliens,1986,8.50,173518,['action' 'sci-fi' 'thriller']
m75,ghostbusters,1986,6.90,237,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror']
m194,star trek iv: the voyage home,1986,7.30,26423,['adventure' 'comedy' 'sci-fi']
m100,innerspace,1987,6.50,16854,['action' 'adventure' 'comedy' 'crime' 'sci-fi']
m478,predator,1987,7.80,90730,['action' 'adventure' 'sci-fi' 'thriller']
m543,superman iv: the quest for peace,1987,3.40,15332,['action' 'adventure' 'family' 'fantasy' 'sci-fi']
m14,alien nation,1988,6.10,5590,['crime' 'drama' 'sci-fi' 'thriller']
m457,neuromancer,1988,9.30,48,['action' 'adventure' 'animation' 'sci-fi']
m74,ghostbusters ii,1989,6.10,45450,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi']
m232,the abyss,1989,7.60,51699,['action' 'adventure' 'drama' 'sci-fi' 'thriller']
m421,leviathan,1989,5.30,4751,['adventure' 'horror' 'mystery' 'sci-fi' 'thriller']
m583,star trek v: the final frontier,1989,5.00,20749,['action' 'adventure' 'sci-fi' 'thriller']
m48,dark angel,1990,5.30,3452,['action' 'crime' 'drama' 'horror' 'sci-fi' 'thriller']
m221,total recall,1990,7.40,71383,['action' 'adventure' 'sci-fi' 'thriller']
m197,star trek vi: the undiscovered country,1991,7.20,23751,['action' 'mystery' 'sci-fi' 'thriller']
m413,kafka,1991,6.90,4467,['comedy' 'drama' 'mystery' 'sci-fi' 'thriller']
m547,terminator 2: judgment day,1991,8.50,243230,['action' 'sci-fi' 'thriller']
m237,alien vs. predator,1993,7.80,116,['action' 'adventure' 'sci-fi']
m321,demolition man,1993,6.30,46318,['action' 'crime' 'sci-fi']
m411,jurassic park,1993,7.90,153737,['action' 'adventure' 'family' 'sci-fi' 'action' 'adventure' 'fantasy' 'sci-fi']
m191,star trek: generations,1994,6.50,26662,['action' 'mystery' 'sci-fi' 'thriller']
m345,the fantastic four,1994,3.80,1472,['action' 'adventure' 'sci-fi' 'fantasy']
m388,highlander iii: the sorcerer,1994,3.90,7831,['fantasy' 'sci-fi' 'action']
m200,strange days,1995,7.10,27744,['action' 'crime' 'drama' 'fantasy' 'music' 'mystery' 'sci-fi' 'thriller']
m587,twelve monkeys,1995,8.10,173320,['mystery' 'sci-fi' 'thriller']
m597,virtuosity,1995,5.30,11191,['action' 'crime' 'sci-fi' 'thriller']
m97,independence day,1996,6.60,151698,['action' 'adventure' 'sci-fi' 'thriller']
m196,star trek: first contact,1996,7.60,45429,['action' 'adventure' 'sci-fi' 'thriller']
m339,escape from l.a.,1996,5.30,23551,['action' 'adventure' 'sci-fi' 'thriller']
m5,the fifth element,1997,7.50,133756,['action' 'adventure' 'romance' 'sci-fi' 'thriller']
m57,event horizon,1997,6.40,45497,['horror' 'mystery' 'mystery' 'sci-fi' 'sci-fi']
m125,men in black,1997,7.00,121719,['action' 'adventure' 'comedy' 'sci-fi']
m304,contact,1997,7.40,75043,['drama' 'mystery' 'sci-fi' 'thriller']
m343,face/off,1997,7.30,103386,['action' 'crime' 'drama' 'sci-fi' 'thriller']
m365,gattaca,1997,7.80,72063,['drama' 'romance' 'sci-fi' 'thriller']
m410,the lost world: jurassic park,1997,6.00,78169,['action' 'adventure' 'sci-fi' 'thriller' 'action' 'adventure' 'animation' 'horror' 'sci-fi' 'thriller']
m440,mimic,1997,5.70,14916,['drama' 'horror' 'sci-fi']
m526,spacejacked,1997,2.90,105,['action' 'sci-fi']
m530,starship troopers,1997,7.10,84874,['action' 'adventure' 'sci-fi' 'thriller']
m67,godzilla,1998,4.90,60310,['action' 'horror' 'sci-fi' 'thriller']
m195,star trek: insurrection,1998,6.30,26728,['action' 'adventure' 'sci-fi' 'thriller']
m315,dark city,1998,7.80,64262,['mystery' 'sci-fi' 'thriller']
m319,deep rising,1998,5.70,12638,['action' 'horror' 'sci-fi' 'thriller']
m521,soldier,1998,5.60,16446,['action' 'drama' 'sci-fi']
m528,sphere,1998,5.60,31924,['drama' 'horror' 'mystery' 'sci-fi' 'thriller']
m556,the x files,1998,6.80,39090,['crime' 'horror' 'mystery' 'sci-fi' 'thriller']
m68,galaxy quest,1999,7.20,53004,['action' 'adventure' 'comedy' 'sci-fi']
m433,the matrix,1999,8.70,389480,['action' 'adventure' 'adventure' 'adventure' 'sci-fi']
m607,wild wild west,1999,4.30,54943,['action' 'western' 'comedy' 'sci-fi']
m358,frequency,2000,7.30,36396,['crime' 'drama' 'sci-fi' 'thriller']
m472,pitch black,2000,7.00,55982,['action' 'sci-fi' 'thriller']
m557,the cell,2000,6.20,37417,['drama' 'fantasy' 'horror' 'sci-fi' 'thriller']
m614,x-men,2000,7.40,122149,['action' 'sci-fi']
m50,donnie darko,2001,8.30,215194,['drama' 'mystery' 'sci-fi']
m107,jason x,2001,4.40,18199,['horror' 'sci-fi']
m409,jurassic park iii,2001,5.70,62564,['action' 'adventure' 'sci-fi' 'thriller']
m473,planet of the apes,2001,5.50,73596,['action' 'adventure' 'sci-fi' 'thriller' 'animation' 'action' 'adventure' 'sci-fi']
m126,minority report,2002,7.70,137009,['action' 'crime' 'mystery' 'sci-fi' 'thriller' 'action' 'animation' 'drama' 'mystery' 'sci-fi' 'thriller']
m179,signs,2002,6.90,113119,['drama' 'mystery' 'sci-fi' 'thriller']
m187,solaris,2002,6.20,33541,['drama' 'mystery' 'romance' 'sci-fi']
m189,spider-man,2002,7.40,169898,['action' 'adventure' 'fantasy' 'sci-fi' 'action' 'adventure' 'sci-fi' 'thriller']
m198,star trek: nemesis,2002,6.40,28682,['action' 'sci-fi' 'thriller']
m41,the butterfly effect,2004,7.80,104917,['drama' 'mystery' 'sci-fi' 'thriller']
m55,eternal sunshine of the spotless mind,2004,8.50,224838,['drama' 'romance' 'sci-fi']
m201,suspect zero,2004,5.80,9914,['crime' 'horror' 'sci-fi' 'thriller']
m58,fantastic four,2005,5.70,72581,['action' 'adventure' 'fantasy' 'sci-fi' 'fantasy']
m215,the jacket,2005,7.10,36581,['drama' 'fantasy' 'mystery' 'sci-fi' 'thriller']
m184,slither,2006,6.60,26497,['comedy' 'horror' 'sci-fi']
m95,i am legend,2007,7.10,156084,['drama' 'sci-fi' 'thriller']
m211,the day the earth stood still,2008,5.50,52489,['drama' 'sci-fi' 'thriller']
m612,watchmen,2009,7.80,135229,['action' 'crime' 'fantasy' 'mystery' 'sci-fi' 'thriller']